movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month
tt5958178,Into the Who Knows!,Into the Who Knows!,2017.0,"adventure,drama,family",8.0,6.0,1.9459101490553132,,2017-07-01,,,,,7.0
tt6137416,Intolerância.doc,Intolerância.doc,2016.0,documentary,6.6,11.0,2.4849066497880004,,2016-07-01,,,,,7.0
tt6341066,Intrigo: Death of an Author,Intrigo: Death of an Author,2018.0,"crime,drama,mystery",6.1,77.0,4.356708826689592,,2018-07-01,,,,,7.0
tt5660112,Intrinsic Leverage,Intrinsic Leverage,2016.0,drama,1.3,7.0,2.0794415416798357,,2016-07-01,,,,,7.0
tt8846840,Introduzione all'oscuro,Introduzione all'oscuro,2018.0,documentary,5.9,46.0,3.8501476017100584,,2018-07-01,,,,,7.0
tt4955038,Introdução à Música do Sangue,Introdução à Música do Sangue,2015.0,drama,5.0,21.0,3.091042453358316,,2015-07-01,,,,,7.0
tt3014556,Intruder,Intruder,2016.0,"horror,mystery,thriller",3.3,854.0,6.75110146893676,1.866,2016-07-01,,,,,7.0
tt3996044,Intruders,Intruders,2017.0,"crime,drama,thriller",4.8,15.0,2.772588722239781,10.668,2017-07-01,,,,,7.0
tt4009278,Intruders,Shut In,2015.0,"drama,horror,thriller",5.7,10374.0,9.247154345098899,10.668,2015-07-01,,,,,7.0
tt7902704,Inttelligent,Inttelligent,2018.0,"action,drama",2.8,154.0,5.043425116919247,,2018-07-01,,,,,7.0
tt7672868,Intu Mintu Londonma,Intu Mintu Londonma,2018.0,romance,7.2,67.0,4.219507705176107,,2018-07-01,,,,,7.0
tt6340500,Inuyashiki,Inuyashiki,2018.0,"drama,sci-fi,thriller",6.8,1068.0,6.974478911025045,,2018-07-01,,,,,7.0
tt6215368,Invasion,Invasion,2017.0,"crime,drama,mystery",6.4,238.0,5.476463551931511,,2017-07-01,,,,,7.0
tt5336798,Invasion Earth,Invasion Earth,2016.0,sci-fi,3.2,94.0,4.553876891600541,,2016-07-01,,,,,7.0
tt7183826,Invasion on Chestnut Ridge,Invasion on Chestnut Ridge,2017.0,documentary,6.2,93.0,4.543294782270004,,2017-07-01,,,,,7.0
tt5796726,Invasores,Invasores,2016.0,drama,6.0,5.0,1.791759469228055,,2016-07-01,,,,,7.0
tt7527564,Inventing Tomorrow,Inventing Tomorrow,2018.0,documentary,7.9,85.0,4.454347296253507,,2018-07-01,,,,,7.0
tt5695764,Inversion,Varoonegi,2016.0,drama,6.2,379.0,5.940171252720432,,2016-07-01,,,,,7.0
tt3099616,Invierno,Invierno,2015.0,drama,6.8,71.0,4.276666119016055,,2015-07-01,,,,,7.0
tt7507532,Invierno en Europa,Invierno en Europa,2017.0,documentary,7.7,6.0,1.9459101490553132,,2017-07-01,,,,,7.0
tt4524202,Invisible,Imbisibol,2015.0,drama,7.0,12.0,2.5649493574615367,,2015-07-01,,,,,7.0
tt4660248,Invisible,Invisible,2015.0,"drama,thriller",5.3,109.0,4.700480365792417,,2015-07-01,,,,,7.0
tt6596630,Invisible,Invisible,2017.0,drama,6.1,446.0,6.102558594613569,,2017-07-01,,,,,7.0
tt8985618,Invisible Essence: The Little Prince,Invisible Essence: The Little Prince,2018.0,documentary,7.9,46.0,3.8501476017100584,,2018-07-01,,,,,7.0
tt6980550,Invisible Hands,Invisible Hands,2018.0,documentary,8.1,21.0,3.091042453358316,,2018-07-01,,,,,7.0
tt4602468,Invisible Ink,Invisible Ink,2015.0,"comedy,drama",8.0,13.0,2.639057329615259,,2015-07-01,,,,,7.0
