movie_id,title,original_title,release_year,genres,vote_average,vote_count,log_vote_count,popularity,release_date,production_budget,domestic_gross,worldwide_gross,roi,release_month,release_month_name,main_genre
tt4893748,Fair Game,Fair Game,2017.0,documentary,8.2,5.0,1.791759469228055,11.624,2017-07-01,50000000.0,11497497.0,26097497.0,-0.47805006,7.0,Jul,documentary
tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,2016.0,"adventure,family,fantasy",7.3,365353.0,12.80862202556507,28.563,2016-07-01,180000000.0,234037575.0,802402853.0,3.457793627777778,7.0,Jul,adventure
tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018.0,"adventure,family,fantasy",6.6,163151.0,12.002437560604006,48.508,2018-07-01,200000000.0,159555901.0,652220086.0,2.26110043,7.0,Jul,adventure
tt1502712,Fantastic Four,Fantastic Four,2015.0,"action,adventure,drama",4.3,140148.0,11.850461421355206,16.36,2015-07-01,120000000.0,56117548.0,167849187.0,0.398743225,7.0,Jul,action
tt1966359,Father Figures,Father Figures,2017.0,"adventure,comedy,drama",5.5,14373.0,9.573176298028388,12.45,2017-07-01,25000000.0,17501244.0,21038441.0,-0.15846236,7.0,Jul,adventure
tt2671706,Fences,Fences,2016.0,drama,7.2,86749.0,11.370785697809106,12.753,2016-07-01,24000000.0,57682904.0,64282881.0,1.678453375,7.0,Jul,drama
tt3411444,Ferdinand,Ferdinand,2017.0,"adventure,animation,comedy",6.7,40229.0,10.602368264943834,19.479,2017-07-01,111000000.0,84410380.0,289847930.0,1.6112426126126127,7.0,Jul,adventure
tt4465564,Fifty Shades Darker,Fifty Shades Darker,2017.0,"drama,romance",4.6,81706.0,11.310894956492398,12.083,2017-07-01,55000000.0,114434010.0,381398492.0,5.934518036363636,7.0,Jul,drama
tt4477536,Fifty Shades Freed,Fifty Shades Freed,2018.0,"drama,romance,thriller",4.5,43893.0,10.689532915462804,22.512,2018-07-01,55000000.0,100407760.0,371350619.0,5.751829436363637,7.0,Jul,drama
tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016.0,comedy,3.5,17189.0,9.752083098376895,8.784,2016-07-01,5000000.0,11686940.0,22113075.0,3.422615,7.0,Jul,comedy
tt2322441,Fifty Shades of Grey,Fifty Shades of Grey,2015.0,"drama,romance,thriller",4.1,279126.0,12.539422154365333,21.229,2015-07-01,40000000.0,166167230.0,570998101.0,13.274952525,7.0,Jul,drama
tt4280822,Fight Valley,Fight Valley,2016.0,"action,drama",2.7,494.0,6.20455776256869,2.199,2016-07-01,20000000.0,0.0,0.0,-1.0,7.0,Jul,action
tt2277860,Finding Dory,Finding Dory,2016.0,"adventure,animation,comedy",7.3,213542.0,12.271593496523746,15.393,2016-07-01,200000000.0,486295561.0,1021215193.0,4.106075965,7.0,Jul,adventure
